publicationid,pubtypeid,year,citation,articletitle,journal,volume,issue,pages,citationnumber,doi,booktitle,numvolumes,edition,volumetitle,seriestitle,seriesvolume,publisher,url,city,state,country,originallanguage,notes,recdatecreated,recdatemodified
3209,0,1985,"Sasso, R. F., R. F. Boszhardt, J. C. Knox, J. L. Theler, K. P. Stevenson, J. P. Gallagher, and C. Stiles-Hanson. 1985. Prehistoric ridged field agriculture in the upper Mississippi Valley. University of Wisconsin-La Crosse, Mississippi Valley Archaeology Center Reports of Investigations 38.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3210,0,n.d.,"Saunders, J. J. n.d. Vertebrates of the San Pedro Valley 11,000 B.P. Ms. on file, Illinois State Museum, Springfield.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3211,0,1970,"Saunders, J. J. 1970. The distribution and taxonomy of Mammuthus in Arizona. Master''s thesis, University of Arizona, Tucson.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3212,0,1977,"Saunders, J. J. 1977. Late Pleistocene vertebrates of the western Ozark Highland, Missouri. Illinois State Museum Reports of Investigations 33.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3213,0,1988,"Saunders, J. J. 1988. Fossiliferous spring sites in southwestern Missouri. Pages 127-149 in Late Pleistocene and early Holocene paleoecology and archaeology of the eastern Great Lakes Region (R. S. Laub, N. G. Miller, and D. W. Steadman, editors), Bulletin of the Buffalo Society of Natural Sciences 33.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3214,0,1979,"Saunders, R. S., and J. T. Penman. 1979. Perry Ranch: a Plainview bison kill on the southern plains. Plains Anthropologist 24(83):51-65.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3215,0,1978,"Savage, H. 1978. Appendix D: Armstrong: faunal remains. Wisconsin Archeologist 59(1):119-144.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3216,0,1941,"Sayles, E. B., and E. Antevs. 1941. The Cochise culture. Medallion Papers 29.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3217,0,1990,"Schambach, F. F. 1990. Coles Creek and Mississippi period foragers in the Felsenthal region of the lower Mississippi Valley: evidence from the Bangs Slough site, southeast Arkansas. Arkansas Archaeological Research Series 39.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3218,0,1982,"Schambach, F. F., and F. Rackerby. 1982. Contributions to the archeology of the Great Bend Region. Arkansas Archeological Survey Research Series 22.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3219,0,1978,"Schmits, L. J. 1978. The Coffey site: environmental and cultural adaptation at a prairie Plains Archaic site. Midcontinental Journal of Archaeology 3:69-185.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3220,0,1982,"Schmits, L. J. 1982. The May Brook site, Jackson County, Missouri. Missouri Archaeologist 43:1-66.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3221,0,1987,"Schmits, L. J. 1987. The Williamson site and the Late Archaic El Dorado phase in eastern Kansas. Plains Anthropologist 32:153-174.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3222,0,1986,"Schmitt, D. 1986. Zooarchaeology and taphonomic investigations of site 35JA42, upper Applegate River, southwestern Oregon. Master''s thesis, Oregon State University, Corvallis.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3223,0,1990,"Schmitt, D. N., and N. D. Sharp. 1990. Mammals in the marsh: zooarchaeological analysis of six sites in the Stillwater Wildlife Refuge, western Nevada. Pages 75-95 in Wetland adaptations in the Great Basin (J. C. Janetski and D. B. Madsen, editors), Brigham Young University, Museum of Peoples and Cultures Occasional Papers 1.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3224,0,1953,"Schmitt, K., and R. Toldan, Jr. 1953. The Brown site, Gd-1, Grady County, Oklahoma. Bulletin of the Texas Archeological Society 24:141-176.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3225,0,1969,"Schneider, F. E. 1969. The Roy Smith site, Bv-14, Beaver County, Oklahoma. Bulletin Of The Oklahoma Anthropological Society 18:119-179.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3226,0,1974,"Schneider, F. E. 1974. Archaeological test excavations in the proposed Meramec Park Reservoir: 1971 season. Ms. on file, University of Missouri, Department of Anthropology, Columbia.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3227,0,1971,"Schneider, F. E., and C. R. Geier. 1971. Archaeological investigations in the proposed Union Reservoir, Franklin County, Missouri. Ms. on file, University of Missouri, Department of Anthropology, Columbia.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3228,3,1974,"Schnell, G.S. 1974. Hotel Plaza: an early historic site with a long prehistory. Report of Investigations 29. Illinois State Museum, Springfield, Illinois, USA.",,,,,,,,,,,Hotel Plaza: an early historic site with a long prehistory,Report of Investigations,29,Illinois State Museum,,Springfield,Illinois,USA,,,2013-09-30 14:02:54,2014-02-21 19:20:54
3229,0,1964,"Schoenwetter, J., and F. W. Eddy. 1964. Alluvial and palynological reconstruction of environments, Navajo Reservoir district. Museum of New Mexico Papers in Anthropology 13.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3230,1,1991,"Scholtz, J.A. 1991. Investigation at the Roland site. The Arkansas Archeologist 30:7-56.",Investigation at the Roland site,The Arkansas Archeologist,30,,7-56,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2014-03-18 14:35:43
3231,0,1985,"Schroedl, A. R. 1985. Archaic and late prehistoric adaptation in southwestern Wyoming: the Frontier Pipeline excavations. Bureau of Land Management, Cultural Resource Series 3.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3232,0,1975,"Schroedl, A. R., and P. F. Hogan. 1975. Innocents Ridge and the San Rafael Fremont. University of Utah, Antiquities Section, Selected Papers 2.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3233,0,1935,"Schultz, C. B., and E. B. Howard. 1935. The fauna of Burnet Cave, Guadalupe Mountains, New Mexico. Proceedings of the Academy of Natural Sciences of Philadelphia 87:273-298.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3234,0,1963,"Schultz, C. B., L. G. Tanner, F. C. Whitmore, and E. C. Crawford. 1963. Paleontologic investigations at Big Bone Lick State Park, Kentucky: a preliminary report. Science 142:1167-1169.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3235,0,1967,"Schultz, C. B., L. G. Tanner, F. C. Whitmore, and E. C. Crawford. 1967. Big Bone Lick, Kentucky. Notes of the University of Nebraska State Museum 33:1-12.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3236,1,1969,"Schultz, G.E. 1969. Geology and paleontology of a late Pleistocene basin in southwestern Kansas. Geological Society of America Special Paper 105:1-85.",Geology and paleontology of a late Pleistocene basin in southwestern Kansas,Geological Society of America Special Paper,105,,1-85,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2018-08-31 16:52:02
3237,0,1978,"Schultz, G. E. 1978. Supplementary data on the Rex Rodgers site: micromammals. Pages 114 in Salvage archeology at Mackenzie Reservoir (J. T. Hughes and P. S. Willey, editors). Texas Historical Commission Archeological Survey Report 24.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3238,0,1970,"Schultz, G. E., and E. P. Cheatum. 1970. Bison occidentalis and associated invertebrates from the late Wisconsin of Randall County, Texas. Journal of Paleontology 44(5):836-850.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3239,0,1978,"Schultz, G. E., and V. M. Rawn. 1978. Faunal remains from the Deadman''s Shelter site. Pages 191-198 in Salvage archeology at Mackenzie Reservoir (J. T. Hughes and P. S. Willey, editors), Texas Historical Commission Archeological Survey Report 24.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3240,0,1963,"Scisenti, J. V., A. D. Hert, and B. Dickey. 1963. Excavations at the Martinez site, LA4104. Museum of New Mexico Papers in Anthropology 10:112-120.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3241,0,1963,"Scisenti, J. V., A. D. Hert, and B. Dickey. 1963. Excavations at the Railroad site, LA4103. Museum of New Mexico Papers in Anthropology 10:80-111.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3242,0,1985,"Scott, E. M. 1985. French subsistence at Fort Michilimackinac 1715-1781: the clergy and the traders. Mackinac Island State Park Commission, Archaeological Completion Report Series 9.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3243,0,1963,"Scott, G. R. 1963. Quaternary geology and geomorphic history of the Kassler quadrangle, Colorado. U.S. Geological Survey Professional Paper 421A(7):1-67.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3244,0,1983,"Scott, W. E., W. D. McCoy, R. R. Shroba, and M. Rubin. 1983. Reinterpretation of the exposed record of the last two cycles of Lake Bonneville, western United States. Quaternary Research 20:261-285.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3245,0,1938,"Sellards, E. H. 1938. Artifacts associated with fossil elephant. Bulletin of the Geological Society of America 49(7):999-1010.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3246,0,1940,"Sellards, E. H. 1940. New fossil localities in Texas. Bulletin of the Geological Society of America 51:1977-1978.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3247,0,1955,"Sellards, E. H. 1955. Fossil bison and associated artifacts from Milnesand, New Mexico. American Antiquity 20(4):336-344.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3248,0,1947,"Sellards, E. H., G. L. Evans, and G. E. Meade. 1947. Fossil bison and associated artifacts from Plainview, Texas. Bulletin of the Geological Society of America 58:927-954.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3249,2,1982,"Seme, M. 1982. Summary of faunal remains. Pages 62-63 in M. Hargrave, editor. Archeological investigations at the Bluff Shadow site, Monroe County, Illinois. Southern Illinois University, Carbondale, Illinois, USA.",Summary of faunal remains,,,,62-63,,,"Archeological investigations at the Bluff Shadow site, Monroe County, Illinois",,,,,31,Southern Illinois University,,Carbondale,Illinois,USA,,,2013-09-30 14:02:54,2014-02-20 22:25:18
3250,0,1988,"Seme, M. 1988. Faunal remains recovered from Pickup Pueblo. The Artifact 26(2):69-70.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3251,0,n.d.,"Semken, H. A., Jr. n.d. Vertebrate remains from Coldwater Cave, northeastern Iowa. Ms. on file, University of Iowa, Iowa City.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3252,0,1961,"Semken, H. A., Jr. 1961. Fossil vertebrates from Longhorn Cavern, Burnet County, Texas. Texas Journal of Science 13:290-310.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3253,0,1967,"Semken, H. A., Jr. 1967. Mammal remains from Rattlesnake Cave, Kinney County, Texas. Texas Memorial Museum, Pearce-Sellards Series 7:1-11.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3254,0,1969,"Semken, H. A., Jr. 1969. Paleoecological implications of micromammals from Peccary Cave, Newton County, Arkansas. Geological Society of America, Southcentral Section, Abstracts 1969 (Part 2):27.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3255,0,1971,"Semken, H. A., Jr. 1971. Small mammal remains from the Wittrock Mill Creek culture site. Pages 109-113 in Prehistoric investigations (M. McKusick, editor), University of Iowa, Office of the State Archaeologist Report 3.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3256,0,1973,"Semken, H. A., Jr. 1973. Faunal identifications. Pages 66-67 in The Grant Oneota Village (M. McKusick, editor), University of Iowa, Office of the State Archaeologist Report 4.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3257,0,1977,"Semken, H. A., Jr. 1977. Faunal analysis at the McQuistan Historic site (13WP25), Wapello County, Iowa. Pages 92-95 in Final Report Archaeological investigations at the site of the Ottumwa generating station, Chillicote, Iowa (J. P. Tandarich, editor), Office of the State Archaeologist of Iowa, Contract Completion Report 73.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3258,0,1980,"Semken, H. A., Jr. 1980. Holocene climatic reconstructions derived from the three micromammal cultural horizons of the Cherokee Sewer site, Northwestern Iowa. Pages 67-99 in The Cherokee excavations: Holocene ecology and human adaptations in northwestern Iowa (D. C. Anderson and H. A. Semken, Jr., editors), Academic Press, New York.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3259,0,1981,"Semken, H. A., Jr. 1981. Descriptive analysis of the rodent cranial elements collected from the Rainbow site (13PM91), Plymouth County, Iowa. Pages 260-281 in Archaeological investigations of the Rainbow site, Plymouth County, Iowa (D. W. Benn, editor), Interagency Archaeological Services Division, Denver.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3260,0,1983,"Semken, H. A., Jr. 1983. Holocene mammalian biogeography and climatic change in the eastern and central United States. Pages 182-207 in Late-Quaternary environments of the United States, Volume 2: The Holocene (H. E. Wright, Jr., editor), University of Minnesota Press, Minneapolis.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3261,0,1984,"Semken, H. A., Jr. 1984. Paleoecology of a late Wisconsinan/Holocene micromammal sequence in Peccary Cave, northwestern Arkansas. Pages 405-431 in Contributions to vertebrate paleontology: a volume in memorial to John E. Guilday (H. H. Genoways and M. R. Dawson, editors), Carnegie Museum of Natural History Special Publications 8.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3262,2,1987,"Semken, H.A., Jr., and C.R. Falk. 1987. Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States. Pages 176-313 in R.W. Graham, H.A. Semken, Jr., and M.A. Graham, editors. Late Quaternary mammalian biogeography and environments of the Great Plains and prairies. Scientific Papers 22. Illinois State Museum, Springfield, Illinois, USA.",Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States,,,,176-313,,,Late Quaternary mammalian biogeography and environments of the Great Plains and prairies,,,,Scientific Papers,22,Illinois State Museum,,Springfield,Illinois,USA,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3263,0,1990,"Semken, H. A., Jr., C. Miller, and J. Cordell. 1990. Inventory of identified vertebrates recovered from the Ft. Randall Historic site, South Dakota (39GR15). U.S. Army Corps of Engineers, Omaha District, Omaha.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3264,0,1964,"Semken, H. A., Jr., B. B. Miller, and J. B. Stevens. 1964. Late Wisconsin woodland musk oxen in association with pollen and invertebrates from Michigan. Journal of Paleontology 38(5): 823-835.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3265,0,1981,"Semken, H. A., Jr., and M. R. Satorius. 1981. Small mammal remains associated with the Oakwood Lakes (39Bk7) site, Brookings County, South Dakota. Pages 261-267 in Archeological excavation at 39Bk7, Brookings County, South Dakota, fall 1979 (L. A. Hannus, editor), South Dakota Archaeological Research Center, Contract Series 33.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3266,0,1991,"Semken, H. A., and T. W. Stafford. 1991. AMS 14C dating of individual species of small mammals: paleoenvironmental reconstructions for 20 ka to 8 ka B.P. Abstracts with Programs, Rocky Mountain Section of the Geological Society of America 23(4):92.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3267,0,1976,"Seurer, D. M., and A. Faulkner. 1976. The Nile Roeder site: a salvage project in Winnebago County. Wisconsin Archeologist 57(1):12-28.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3268,0,1965,"Shaeffer, J. B. 1965. Salvage archaeology in Oklahoma. Bulletin of the Oklahoma Anthropological Society 13:77-152.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3269,0,1989,"Shaffer, B. S. 1989. Late Prehistoric faunal subsistence on the south Texas plains. Plains Anthropologist 34:171-178.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3270,0,1981,"Shapiro, G. 1981. Faunal remains from provenience 15. Pages 211-220 in Archaeological investigations at the Dayr site, 9Ge5 (M. T. Smith, editor), Ms. on file, University of Georgia, Athens.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3271,0,1983,"Shapiro, G. 1983. Site variability in the Oconee province: a late Mississippian society of the Georgia piedmont. Ph.D. dissertation, University of Florida, Gainesville.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3272,0,1973,"Sharon, D. W., and J. W. Bunn, Jr. 1973. A Swift Creek midden at the Wheeler Springs site, Wynnhaven Beach, Florida. Florida Anthropologist 26(4):153-156.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3273,0,1960,"Sharrock, F. W. 1960. The Grant site of the Washita River focus. Bulletin Of The Oklahoma Anthropological Society 9:1-66.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3274,0,1966,"Sharrock, F. W. 1966. Prehistoric occupation patterns in southwestern Wyoming and cultural relationships with the Great Basin and Plains cultural areas. University of Utah Anthropological Paper 77.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3275,0,1967,"Sharrock, F. W., and J. P. Marwitt. 1967. Excavations at Nephi, Utah, 1965-1966. University of Utah Anthropological Paper 88.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3307,0,1975,"Smith, C. S. 1975. The Stricker site. Plains Anthropologist 20(67):1-25.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3276,0,1971,"Shay, C.T. 1971. The Itasca Bison Kill site: an ecological analysis. Minnesota Historical Society, St. Paul..","The Itasca Bison Kill site: an ecological analysis. Minnesota Historical Society, St. Paul.",,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2015-06-02 22:29:09
3277,0,1976,"Sheppard, J. C., and R. M. Chatters. 1976. Washington University natural radiocarbon measurements II. Radiocarbon 18:140-149.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3278,0,1987,"Sheppard, J. C., P. E. Wigand, C. E. Gustafson, and M. Rubin. 1987. A reevaluation of the Marmes Rockshelter radiocarbon chronology. American Antiquity 52(1):118-125.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3279,0,1967,"Shields, W. F. 1967. 1966 excavations: Uinta Basin. University of Utah, Anthropological Papers 89:1-31.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3280,0,1978,"Shields, W. F. 1978. The Woodruff Bison Kill. University of Utah, Anthropological Papers 99:45-53.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3281,0,1978,"Shields, W. F., and G. F. Dalley. 1978. The Beaver River No. 3 site. University of Utah, Anthropological Papers 99:55-99.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3282,0,1980,"Shields, W. L. 1980. Preliminary investigations at the McEndree Ranch site, 5BA30. Southwestern Lore 46(3):1-11.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3283,0,1961,"Shiner, J. L. 1961. The McNary Reservoir: a study in plateau archeology. Smithsonian Institution River Basin Survey Papers, No. 23, Bureau of American Ethnology Bulletin 179.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3284,0,1966,"Shippee, J. M. 1966. The archeology of Arnold Research Cave, Callaway County, Missouri. Missouri Archaeologist 28.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3285,0,1991,"Shockey, B. J. 1991. Faunal material from the Otis Hare site (8-Li-172). Ms. on file, Florida State Museum, Gainesville.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3286,0,1989,"Shoshani, J. 1989. A report on the Shelton Mastodon site and a discussion of the numbers of mastodons and mammoths in Michigan. Michigan Academician 21:115-132.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3287,0,1968,"Shutler, R., Jr. 1968. Tule Springs: its implications to early man studies in North America. Pages 19-26 in Early man in western North America (C. Irwin-Williams, editor), Eastern New Mexico University, Contributions in Anthropology Volume 1, No. 4.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3288,0,1979,"Simons, D. D. 1979. The vertebrate fauna from Ven-100: reptiles, birds, and mammals. California Archaeological Report, 17:49-71.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3289,0,1988,"Simons, D. D. 1988. Appendix 0: vertebrate remains from CA-FRE-1671. Pages 605-628 in Archaeological excavations at site CA-FRE-1671, Fresno County, California: Final Report. Infotec Research Inc., Sonora, California.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3290,0,1964,"Simons, E. L., and H. L. Alexander, Jr. 1964. Age of the Shasta ground sloth from Aden Crater, New Mexico. American Antiquity 29(3):390-391.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3291,1,1945,"Simpson, G.G. 1945. Notes on Pleistocene and recent tapirs. Bulletin of the American Museum of Natural History 86(2):39-81.",Notes on Pleistocene and recent tapirs,Bulletin of the American Museum of Natural History,86,2,39-81,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2018-03-19 21:27:15
3292,0,1949,"Simpson, G. G. 1949. A fossil deposit in a cave in St. Louis. American Museum Novitates 1408:1-13.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3293,1,1942,"Skinner, M.F. 1942. The fauna of Papago Springs Cave, Arizona, and a study of Stockoceros; with three new antilocaprines from Nebraska and Arizona. Bulletion of the American Museum of Natural History 80(6):143-220.","The fauna of Papago Springs Cave, Arizona, and a study of Stockoceros; with three new antilocaprines from Nebraska and Arizona",Bulletion of the American Museum of Natural History,80,6,143-220,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3294,0,1975,"Slattery, R. G., G. A. Horton, and M. E. Ruppert. 1975. The McKinney Village site: an Oneota site in southeastern Iowa. Journal of the Iowa Archaeological Society 22:35-61.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3295,0,1966,"Slaughter, B. H. 1966. The vertebrates of the Domebo local fauna, Pleistocene of Oklahoma. Pages 31-35 in Domebo: a Paleo-indian mammoth kill in the prairie-plains (F. C. Leonhardy, editor), Contributions to the Museum of the Great Plains No. 1.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3296,7,1962,"Slaughter, B.H., W.W. Crook, Jr., R.K. Harris, D.C. Allen, and M. Seifert. 1962. The Hill-Shuler local faunas of the upper Trinity River, Dallas and Denton counties, Texas. Report of Investigations 48, Bureau of Economic Geology, University of Texas, Austin, Texas, USA. [DOI: 10.23967/RI0048D.RI0048D]","The Hill-Shuler local faunas of the upper Trinity River, Dallas and Denton counties, Texas",,,,,,10.23967/RI0048D.RI0048D,,,,,Report of Investigations,48,"Bureau of Economic Geology, University of Texas",,Austin,Texas,USA,,,2013-09-30 14:02:54,2018-11-26 23:49:24
3297,0,1963,"Slaughter, B. H., and B. R. Hoover. 1963. Sulphur River Formation and the Pleistocene mammals of the Ben Franklin local fauna. Journal of the Graduate Research Center, Southern Methodist University 31(3):132-148.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3298,0,1964,"Slaughter, B. H., and B. R. Hoover. 1964. An antler artifact from the late Pleistocene of northeastern Texas. American Antiquity 30(3):351-352.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3299,0,1963,"Slaughter, B. H., and R. Ritchie. 1963. Pleistocene mammals of the Clear Creek local fauna, Denton County, Texas. Journal of the Graduate Research Center, Southern Methodist University 31:117-131.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3300,0,1971,"Slaymaker, C. M., III, and C. M. Slaymaker, Jr. 1971. Au Sagaunashke Village: the upper Mississippian occupation of the Knoll Spring site, Cook County, Illinois. Pages 192-250 in Mississippian site archaeology in Illinois I, site reports from the St. Louis and Chicago areas (J. A. Brown, editor), Illinois Archaeological Survey Bulletin 8.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3301,1,1977,"Smartt, R.A. 1977. The ecology of late Pleistocene and recent Microtus from south-central and southwestern New Mexico. Southwestern Naturalist 22(1):1-19.",The ecology of late Pleistocene and recent Microtus from south-central and southwestern New Mexico,Southwestern Naturalist,22,1,1-19,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2014-02-26 20:28:35
3302,0,1991,"Smartt, R. A., S. G. Lucas, and D. J. Hafner. 1991. The giant bison (Bison latifrons) from the middle Rio Grande Valley of New Mexico. Southwestern Naturalist 36(1):136-137.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3303,0,1985,"Smith, B. A. 1985. The use of animals at the 17th century mission of St. Ignace. Michigan Archaeologist 31(4):97-122.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3304,0,1975,"Smith, B. D. 1975. Middle Mississippi exploitation of animal populations. University of Michigan Museum of Anthropology Anthropological Papers 57.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3305,1,1935,"Smith, C.R. 1935. Mastodon and other finds in Aurora. Transactions of the Illinois State Academy of Science 28(2):195-196.",Mastodon and other finds in Aurora,Transactions of the Illinois State Academy of Science,28,2,195-196,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2014-02-24 20:42:24
3306,0,1960,"Smith, C. R. 1960. Elephants at Crystal Lake. Earth Science 13:63-64.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
